artist,album,genre,firstRelease,format,fullDate,mainLanguage,cityUa,cityEn,label,sex,artistLink,albumLink
Telema,Lost People Crying Loud,metal,yes,lp,11.12.2021,en,Івано-Франківськ,Ivano-Frankivsk,self-made,M,https://www.facebook.com/telema.band,https://music.youtube.com/watch?v=JAMcms_coek&list=OLAK5uy_kryFWb6ufQhTyJgDtn3UqSWXHPilVID3o
TELLY GRAVE,RAGER,hip-hop / rap,no,lp,28.08.2021,ru,Одеса,Odesa,Warner Music Russia,M,https://www.instagram.com/tellygrave/?hl=uk,https://music.youtube.com/watch?v=DBU43IQtt30&list=OLAK5uy_lkdVv_aCjSsU25bIYCKFeNku74CWHNB8o
Teplа́,You,rock,yes,ep,12.06.2021,en,Дніпро,Dnipro,self-made,M,https://www.facebook.com/teplaband/,https://music.youtube.com/playlist?list=OLAK5uy_lSdNPvu-Woet8t_-HNjFKp59IHPhKtbaI
Terry Phao,Quarantione,classical,no,ep,31.05.2021,-,Київ,Kyiv,self-made,M,https://www.facebook.com/TerryPhao/,https://soundcloud.com/terry_phao/sets/terry-phao-quarantione
The Black Sea,Згасає,black metal,no,ep,19.11.2021,ua,Дніпро,Dnipro,self-made,M,https://www.facebook.com/theblackseaofficial,https://theblackseametal.bandcamp.com/album/--2
The CBYW,Look... It is not necessary to listen,experimental,no,ep,10.09.2021,-,Київ,Kyiv,self-made,M,https://www.facebook.com/thecbyw/,https://soundcloud.com/thecbyw/sets/look-it-is-not-necessary-to-listen
The CBYW,No Master.,experimental,no,ep,03.08.2021,-,Київ,Kyiv,self-made,M,https://www.facebook.com/thecbyw/,https://soundcloud.com/thecbyw/sets/nomaster
The COW,Chy Dosyt?,psychedelic,yes,ep,01.08.2021,ua,"Харцизьк, Київ","Khartsyzk, Kyiv",self-made,M,https://www.facebook.com/thecow42/,https://music.youtube.com/playlist?list=OLAK5uy_nchY50LHjADpUywZoLoQeeqc32BL_Ce30
The Glass Beads,Therapy,alternative,yes,lp,20.10.2021,en,-,-,Fabrika Records,Mix,https://www.facebook.com/theglassbeads,https://music.youtube.com/watch?v=vtx3Cz4OugY&list=OLAK5uy_n8DHPMDUPbeuDK7TIahJQdl_2ZkOVkJo8
The Lazy Jesus,Original Fighter,hip-hop / rap,yes,lp,06.10.2021,-,Київ,Kyiv,Masterskaya,M,https://www.instagram.com/thelazyjesus/,https://music.youtube.com/playlist?list=OLAK5uy_lcKGMEBE-m4eAeMhCnncV_g1GyODiYi_E
The MAUNT,V. Reflect,rock,no,ep,11.12.2021,en,Київ,Kyiv,Mnogo Vody,M,https://www.facebook.com/theMAUNT/,https://music.youtube.com/watch?v=Zc1VKumh7uw&list=OLAK5uy_lPlzGW1bGOiGbKCzXpYo2kEO3CRtbObtY
The Memomachine,Morning After Humanity,experimental,no,lp,10.07.2021,-,Київ,Kyiv,VOLOKRecords,M,https://www.instagram.com/the_memomachine/,https://volokrecords.bandcamp.com/album/morning-after-humanity
The Rising Waters,Trust Issues,alternative,no,ep,18.11.2021,en,Київ,Kyiv,SYSTEMASYSTEM,Mix,https://www.instagram.com/therisingwaters/,https://music.youtube.com/playlist?list=OLAK5uy_mSds2-Ub_bzakkS1zjxzOKM7WPhPMR_k0
The Segments,High and Low,post - punk,yes,ep,01.06.2021,en,Київ,Kyiv,self-made,M,https://www.instagram.com/thesegmentsband/,https://music.youtube.com/watch?v=3HS5EL-u6ng&list=OLAK5uy_ls2zpzhMYRCsCoNB4sw2gDH3e6c5bZqUE
